Image_Path,Actual,Predicted,Confidence,Correct,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37
Kapur,5,5,0.9992105655467303,True,4.601266992422364,2.074607549652905,1.551281239869962,0.1694290488334016,0.4334572382282469,0.04345855030906141,2.2441141731449394,0.11605460172764084,0.09507198795885667,0.051571423684156785,0.07291132313966994,0.07838309223082715,0.07824629800354822,0.08795868814035229,0.10512636366385807,0.13658903593801208,0.17796928968988854,0.1666153688257373,0.11716425566440394,0.09958619745906137,0.0871379227766787,0.0792722547081402,0.06053144557092673,0.035840087547079784,0.10095413973185069,0.3690708251985544,203.47610546834923,28.673585143228905,60.0,260.4,7.761771603892526,14.111993433877092,1.4764455228884543,38.94821654526179,11.50189167808675,145.18660784514893,19.882393690559287
Inceptisol,4,4,0.998355987291803,True,4.252962997336746,1.4901324812059025,1.6355839710141802,0.12427150219451526,0.36551782888447876,0.029326579297961307,2.367788367112183,0.0463634688442762,0.11736944700532234,0.053623337093340745,0.07345850004878567,0.08070859409456897,0.07995622584453485,0.08529120070841315,0.09548237064069347,0.12085769980093507,0.14349714441559805,0.12701344002848694,0.09514038507249614,0.08406005266290277,0.07715194418531678,0.08378646420834492,0.07400567695790138,0.047262405524870474,0.11825860948263539,0.4430765021564558,144.53714989227453,38.48318554532903,37.199999999999996,282.0,8.365956131908959,18.78614274477617,18.524966267006832,73.83958140966452,26.949351974590456,109.74948873157552,30.02052041188895
Entisol,2,2,0.9984771639764003,True,0.46838941428392,0.0985524191518909,2.2764776203927504,0.04267544955532206,1.3236891930545132,0.039761925305871616,2.090179050544813,0.08690925813769394,0.10656270305028684,0.05478608802521165,0.0688758934349415,0.08187134502643989,0.06292534454830802,0.07776751820807197,0.0810505796627663,0.09500359084521721,0.08583837761752887,0.10827263089127347,0.09083136691320982,0.09979138879997977,0.08351287575378705,0.09596115043616972,0.07680995861711945,0.05328135152514342,0.1760541705079835,0.5008036660681644,226.46016210115934,6.875022340218552,172.79999999999998,246.0,5.4078481063939305,7.57571902465716,0.5943419743953665,101.54870216476866,6.9409477025829265,203.1970999623816,1.8075658631445073
Humus,3,3,0.9987684869444293,True,10.064453952711565,3.7825023579579926,1.2785342938520103,0.13913504408834346,0.3768343980646144,0.03112088415856558,1.8907042265666762,0.22850259017984764,0.13563147634705955,0.05129783522959892,0.0761259874807248,0.0877534967994339,0.08877945350402587,0.08905304195858374,0.0906945726859309,0.10122772818640854,0.10649430593664737,0.10293765602739517,0.08193974214007935,0.08159775657188202,0.08289730173103187,0.08706952566303924,0.07865668068538502,0.05417051400245646,0.1378885810971619,0.46578434388475826,43.87109879963066,27.39567837547733,1.2,212.4,7.627698190060388,15.016285352758116,28.07171650552567,65.93158920693547,24.870043616631683,35.47090728771246,30.070815443084456
Kapur,5,2,0.8658561546248597,False,2.846871641072818,1.1045472920564994,1.8532408529051332,0.1140287446999299,0.5684266819860269,0.032426417061636265,2.478570222004397,0.008344634146118685,0.08050340275365057,0.03556649909252192,0.059026709070858496,0.07270613179875154,0.08344447864014759,0.10115933107276907,0.11969494886906416,0.1654526178938664,0.18460380971291665,0.17933723196267784,0.13166444375597058,0.11757463834624074,0.0985602407544694,0.08152935945824255,0.053144557297864485,0.025443726273881067,0.09493519373157774,0.31565267944613207,209.070072842926,78.29592965682008,36.0,289.2,8.230339878531236,15.994227283608632,4.430939105020301,57.053096679320134,36.61700389040279,151.34511131630245,53.45454409480697
Inceptisol,4,4,0.9959670689518396,True,5.841220473769102,2.333680446517202,1.4302713157125957,0.14911341458554173,0.3891624047769626,0.03372491511636859,2.116187000303851,0.15413089011893633,0.12072090557365614,0.044800109433849725,0.07345850004878567,0.08857426216310747,0.09178892650416234,0.1021168906637216,0.10581033480025272,0.11757463834624074,0.12270442186920062,0.11306042884603602,0.09411442836790417,0.09096816114048877,0.085564789162971,0.08453883245837902,0.07113299818504384,0.046441640161196895,0.11572791627797517,0.43090181592863097,153.88402585410896,26.44222155232598,16.8,234.0,7.771960076747657,51.56135563079238,8.030417217863487,48.432707499743515,16.828766239958547,111.73913340857017,21.06995611862925
Kapur,5,5,0.9995713650079598,True,6.4269276223444205,3.018538455382664,1.6954781926067908,0.13766910646694577,0.3887232890110201,0.031361049373729584,2.365638816063593,0.063253432830947,0.06880749632130202,0.03707123559259016,0.05868472350266117,0.06449847816201572,0.06265175609375015,0.0765363701625616,0.10259567045919785,0.1926062720087341,0.3027940220819126,0.22003351457815964,0.11907937484630897,0.09131014670868609,0.07680995861711945,0.06579802332116555,0.055128073593408974,0.03597688177435871,0.07646797304892212,0.293150029058748,233.94689648096852,47.02692063435483,28.799999999999997,306.0,8.532048371617142,47.1344482062857,37.761858916026355,10.255353784070314,12.900593973324533,158.8721042372012,31.832418040792973
Pasir,7,1,0.9983731635234335,False,17.909775991997417,6.992584033717057,0.9623858212685783,0.13961439587460134,0.21721462672103603,0.019681379759999184,2.0240682611212453,0.18594124163388387,0.12407236414198994,0.043226975820142025,0.07038062993500972,0.08925823329950212,0.09726069559531957,0.11011935295953902,0.11907937484630897,0.11935296330086682,0.11463356245974372,0.11025614718681795,0.10273246468647677,0.09295167743603325,0.09712390136804062,0.0871379227766787,0.06518244929841037,0.04042269416092395,0.11210286925508352,0.4047057214047158,146.8497794193085,41.62643761490794,12.0,266.4,8.558295664107893,9.5006873909921,8.498164639262958,82.72458534249856,20.46937252012155,120.7987962107999,37.6935297797716
Humus,3,3,0.9987642862634168,True,13.539656953593653,5.36818291707688,1.0550804407501473,0.15216198181808877,0.2827932659701542,0.024991173083855175,1.8109858288537888,0.27319412138489996,0.14513867514294523,0.05170821791143571,0.07715194418531678,0.08836907082218907,0.0844020382311001,0.08994220443589677,0.0973974898225985,0.10156971375460587,0.09691871002712224,0.09288328032239379,0.08193974214007935,0.07954584316269807,0.0763311788216432,0.08180294791280042,0.08193974214007935,0.05820594370718491,0.13009131014226288,0.48466194724925066,70.6024828152252,29.985145222632365,6.0,219.6,7.972711891292599,9.684511473615814,9.080513364668198,86.08096850312917,38.094228125028444,56.585725522382965,29.710066758899593
Laterit,6,6,0.9992552955990924,True,2.2173743687147613,1.0329956108494829,1.9766570015032456,0.1076228457244437,0.951118009255245,0.05217860171202661,2.2460965910586266,0.11768596481791124,0.10649430593664737,0.04815156800218352,0.0702438357077308,0.08036660852637165,0.07229574911691475,0.0824185219355556,0.0918573236178018,0.12345679011923474,0.14055606852910105,0.1432235559610402,0.0971922984816801,0.09869703498174832,0.08467562668565795,0.08789029102671282,0.0686707020940231,0.043500564274699886,0.13036489859682074,0.42994425633767847,177.02936288088642,19.865907813479524,69.6,265.2,6.609055967978443,5.858541089566021,0.8716328533395568,146.01757805820594,12.30892408024371,195.86145480660718,16.11771003533158
Entisol,2,2,0.9991079918556599,True,3.666041425775797,1.3315550369690408,1.6642218809435532,0.12828417774544207,0.4427063669543297,0.034945831895436416,2.2671864147963343,0.08480566787653936,0.10895660202766812,0.04343216716106042,0.0651140521847709,0.08173455079916095,0.09062617557229144,0.10430559830018447,0.11128210389140994,0.13166444375597058,0.1339899456197124,0.13186963509688898,0.10546834923205539,0.09452481104974095,0.08611196607208672,0.07920385759450074,0.0653192435256893,0.03734482404714802,0.11394959132334907,0.4151020826779145,186.00410382681852,26.919899795717726,33.6,283.2,7.805495851411269,12.669881331007833,2.297930758964999,115.39586197462468,33.57606234553421,159.98733285455353,19.16615787289706
Entisol,2,2,0.999614438930221,True,2.7045894372489987,0.9587445397621441,1.8440457295139645,0.10755259627486684,0.5216137771066975,0.036844195647532,2.3201773900240292,0.06381639666435981,0.1068362915048447,0.048835539138578174,0.06928627611677828,0.08515440648113422,0.08330768441286865,0.0940460312542647,0.1062207174820895,0.11675387298256715,0.13522109366522275,0.13918812625631174,0.11080332409593367,0.10115933107276907,0.0956191648679724,0.08877945350402587,0.07174857220779902,0.03700283847895069,0.1113505010050494,0.39868677540444286,226.55356519954856,26.20796793374687,80.39999999999999,284.4,7.667313071742842,15.622639444615437,1.267593100046087,55.965418419342704,15.622891054808699,165.3138264765227,15.37804341964283
Inceptisol,4,4,0.9990938769273772,True,20.30944524561798,9.192546596747846,0.9631436738840132,0.1524110532529475,0.1851297561094617,0.019793731765938703,2.190154097048933,0.1403814032517237,0.12311480455103742,0.05129783522959892,0.0792722547081402,0.08549639204933154,0.08235012482191614,0.08570158339024994,0.09568756198161187,0.126876645801208,0.13740980130168565,0.12974932457406554,0.09377244279970684,0.08542799493569207,0.07468964809429604,0.0810505796627663,0.07564720768524855,0.046852022843033685,0.11695906432348555,0.4286447111785286,124.35374987175541,54.908215859904246,1.2,296.4,9.018208709849226,10.127834205396532,6.920523270866801,125.89230190485962,43.02454971791757,110.619363222872,41.23298188009983
Andosol,1,1,0.8647007148088433,True,3.8235245116298704,2.3482980443043364,1.9073240203501656,0.10050782649054528,0.7368188661310103,0.0437834796797815,2.3910287551760256,0.06728855655184933,0.10574193768661325,0.04849355357038085,0.06798673095762844,0.07954584316269807,0.08016141718545325,0.08946342464042052,0.10574193768661325,0.13132245818777324,0.1636742929392403,0.13617865325617529,0.0918573236178018,0.09219930918599914,0.07797270954899037,0.07879347491266395,0.06682398002575753,0.04138025375187646,0.12037892000545881,0.42228377961005836,86.58048630347798,40.28596855212388,20.4,301.2,7.291595911861368,9.934680756472076,6.647226092697071,107.60318730549571,16.872590853637796,75.31080332409972,30.801469812922303
Humus,3,3,0.9991367912764625,True,15.042619955420442,5.965930646595576,1.2926309474080488,0.11898113677744668,0.6039743872408718,0.03193401908010633,1.9691977532224025,0.21035841497097738,0.11299203173239657,0.0397387230245293,0.06285694743466855,0.07742553263987464,0.08426524400382117,0.08973701309497839,0.10314284736831357,0.12044731711909827,0.1335795629378756,0.11046133852773635,0.085564789162971,0.07954584316269807,0.07311651448058834,0.0743476625260987,0.06518244929841037,0.041653842206434324,0.28754146574031186,0.3584008754707978,38.37816764132553,36.60554988455828,0.0,211.2,7.600129305741177,17.59050648062652,33.572089186510475,68.20784514893471,60.560498955431484,29.49860811873739,32.68060934968297
Inceptisol,4,4,0.9994880655630137,True,10.987650205446455,5.144713396416446,1.1727026032240044,0.16985170629706048,0.23050233170875248,0.02544426934864477,2.2909416102610374,0.09795271545078307,0.09890222632266672,0.03891795766085572,0.06518244929841037,0.08187134502643989,0.08802708525399175,0.09965459457270084,0.1237303785737926,0.15457747682519143,0.18049998289454874,0.1605280257118249,0.1144967682324648,0.10102253684549015,0.08652234875392352,0.07954584316269807,0.06285694743466855,0.033377791456059035,0.0936356485724279,0.3366505933334479,124.25160562224275,49.177079879030465,2.4,291.59999999999997,8.842551361706308,13.764180431585789,2.7145448146925886,111.22117574638351,38.56480358270818,100.7999452823091,34.50553836854441
